85.206.160.201:25542|Palestine|Gaza Governorate|Gaza
27.77.151.199:10008|Vietnam|Hanoi|Hanoi
185.220.236.38:7890|Hong Kong|Central and Western District|Hong Kong
190.60.39.194:999|Colombia|Departamento del Huila|Neiva
37.19.220.180:8443|United States|Virginia|Ashburn
138.199.48.4:8443|Canada|Ontario|Toronto
67.43.227.227:6305|Ecuador|Guayas|Guayaquil
38.7.129.42:9991|Dominican Republic|Provincia de Santiago|Santiago de los Caballeros
103.26.176.49:8080|Indonesia|Jakarta|Jakarta Pusat
27.77.151.191:10008|Vietnam|Hanoi|Hanoi
103.161.30.29:83|India|Andhra Pradesh|Veeravasaram
103.48.68.34:83|India|Telangana|Hyderabad
103.145.247.18:8080|Bangladesh|Sylhet Division|Shāistāganj
67.43.227.227:13611|United States|Ohio|Lakewood
45.240.156.188:1981|Egypt|Giza|Giza
181.78.19.244:999|Colombia|Bogota D.C.|Barrio San Luis
159.192.102.249:8080|Thailand|Bangkok|Bangkok
103.247.23.69:8080|Indonesia|West Java|Bekasi
123.231.221.180:8080|Indonesia|Jakarta|Jakarta
190.107.236.163:999|Ecuador|Carchi|Tulcán
43.243.174.3:83|India|Maharashtra|Pune
103.154.230.130:8080|Indonesia|Central Java|Lamongan
154.70.107.81:3128|Cameroon|Littoral|Douala
64.225.8.132:10001|United States|Georgia|Cornelia
88.99.249.96:8143|Poland|Mazovia|Warsaw
185.128.138.108:8080|Iran|Tehran|Tehran
190.107.236.179:999|Ecuador|Carchi|Tulcán
45.6.102.10:8080|Brazil|Rio de Janeiro|Nova Iguaçu
212.154.82.52:9090|Turkey|Istanbul|Sisli
181.129.240.246:999|Colombia|Departamento del Valle del Cauca|Santiago de Cali
200.215.248.114:999|Peru|Lima region|San Juan de Lurigancho
41.217.220.69:32650|Kenya|Nairobi|Nairobi
181.232.190.202:999|Dominican Republic|Provincia de La Romana|La Romana
103.147.128.97:83|India|Bihar|Banka
27.77.149.184:10008|Vietnam|Hanoi|Hanoi
64.225.4.17:10007|United States|Arkansas|Norfork
83.126.54.155:8080|United Kingdom|England|Southwark
195.151.230.1:8080|Russia|Moscow|Moscow
27.79.53.37:10004|Vietnam|Ho Chi Minh|Ho Chi Minh City
27.79.53.37:10008|Vietnam|Hanoi|Hanoi
195.201.246.166:5566|United States|Virginia|Warrenton
72.10.160.90:15095|Canada|Ontario|Oakville
45.143.108.10:8080|Georgia||
72.10.160.90:18179|Brazil|Pernambuco|Lagoa dos Gatos
200.124.72.241:999|Mexico|Nuevo León|San Nicolás de los Garza
170.239.207.242:999|Colombia|Bogota D.C.|Bogotá
213.136.101.37:3128|Ivory Coast|Abidjan|Abidjan
103.178.194.9:1111|Indonesia|Banten|Tangerang
85.62.10.94:8080|Spain|Valencia|Denia
38.56.23.33:999|Colombia|Departamento de Narino|Tuquerres
45.81.144.23:8080|Iraq|Duhok|Duhok
45.188.164.48:1994|Mexico|Michoacán|Tingueindin
103.145.45.57:55443|Bangladesh|Dhaka Division|Nagbari
208.79.11.97:9080|United States|Texas|Dallas
181.115.67.9:999|Honduras|Ocotepeque Department|Nueva Ocotepeque
202.154.19.7:8080|Indonesia|East Java|Lamongan
182.253.108.51:40448|Indonesia|Central Java|Pemalang
179.61.229.179:999|Dominican Republic|Provincia de Santiago|Santiago de los Caballeros
38.49.131.221:999|Mexico|Guanajuato|Celaya
78.47.138.199:4000|Philippines|Metro Manila|Manila
81.12.40.253:8080|Iran|Tehran|Tehran
203.153.121.131:8080|Indonesia|Jakarta|Manggadua Selatan
41.78.212.50:8787|South Africa|Limpopo|Thohoyandou
